Year,q1_expenditure,q1_income,q1_savings_rate,q2_expenditure,q2_income,q2_savings_rate,q3_expenditure,q3_income,q3_savings_rate,q4_expenditure,q4_income,q4_savings_rate,q5_expenditure,q5_income,q5_savings_rate,
1984,10.89,3.14,-2.47 ,14.34,9.75,-0.47,19.47,17.07,-0.14,26.14,26.25,0.00,41.83,49.87,0.16,
1985,11.42,3.46,-2.30 ,15.09,10.34,-0.46,20.37,18.13,-0.12,27.76,28.18,0.02,45.17,54.22,0.17,
1986,11.48,3.67,-2.13 ,14.64,10.37,-0.41,21.09,18.14,-0.16,28.7,28.75,0.00,46.24,54.86,0.16,
1987,10.36,4.49,-1.30 ,15.69,11.42,-0.37,21.71,19.5,-0.11,29.6,30.37,0.03,46.47,58.48,0.21,
1988,10.89,4.85,-1.24 ,16.88,12.31,-0.37,23.29,21.17,-0.10,32.08,32.13,0.00,48.72,60.16,0.19,
1989,12.12,5.67,-1.14 ,17.62,13.35,-0.32,24.48,22.23,-0.10,34.23,34.18,0.00,53.09,66.92,0.21,
1990,12.91,5.55,-1.33 ,17.93,13.43,-0.34,24.69,22.68,-0.09,34.27,35.05,0.02,55.44,67.84,0.18,
1991,13.46,5.65,-1.38 ,18.99,14.31,-0.33,26.14,23.97,-0.09,36.15,37.24,0.03,57.6,72.33,0.20,
1992,12.64,5.84,-1.17 ,19.26,14.12,-0.36,26.57,23.4,-0.14,36.09,36.96,0.02,57.98,73.48,0.21,
1993,13.96,6.29,-1.22 ,19.71,14.61,-0.35,26.6,24.29,-0.10,37.3,38.43,0.03,59.52,75.71,0.21,
1994,14.36,5.71,-1.52 ,20.89,15.22,-0.37,28.51,25.33,-0.13,39.03,39.46,0.01,60.8,79.6,0.24,
1995,14.61,6.19,-1.36 ,22.13,15.54,-0.42,29.13,26.4,-0.10,39.4,41.34,0.05,62.64,79.72,0.21,
1996,15.9,6.37,-1.50 ,22.8,15.8,-0.44,30.4,26.54,-0.15,41.97,42.45,0.01,66.79,83,0.20,
1997,16.01,7.01,-1.28 ,23.56,16.84,-0.40,31.45,28.43,-0.11,42.85,44.51,0.04,66.8,86.52,0.23,
1998,16.63,7.05,-1.36 ,23.71,17.41,-0.36,31.4,29.27,-0.07,43.81,46.29,0.05,70.65,91.61,0.23,
1999,16.75,7.1,-1.36 ,24.84,17.58,-0.41,33.03,30.19,-0.09,46,48.61,0.05,75.02,99.66,0.25,
2000,17.94,7.46,-1.41 ,26.55,18.64,-0.43,34.72,31.35,-0.11,46.79,49.7,0.06,75.1,100.37,0.25,
2001,18.88,7.91,-1.39 ,26.49,20,-0.33,35.66,34.11,-0.05,48.72,53.72,0.09,77.13,107.03,0.28,
2002,19.06,8.32,-1.29 ,27.14,20.86,-0.30,36.88,35.82,-0.03,50.43,56.5,0.11,79.2,113.04,0.30,
2003,18.49,8.26,-1.24 ,26.73,20.54,-0.30,36.21,36.36,0.00,50.47,58.59,0.14,81.73,119.09,0.31,
2004,17.84,9.22,-0.94 ,27.41,23.75,-0.15,36.98,40.8,0.09,50.97,62.85,0.19,83.71,124.7,0.33,
2005,19.12,9.69,-0.97 ,28.92,25.2,-0.15,39.1,41.56,0.06,54.35,65.28,0.17,90.47,139.64,0.35,
2006,20.41,9.97,-1.05 ,30.22,26.35,-0.15,41.43,43.8,0.05,55.7,68.5,0.19,94.15,141.74,0.34,
2007,20.47,10.53,-0.94 ,31.15,27.42,-0.14,42.45,45.18,0.06,57.29,70.05,0.18,96.75,150.93,0.36,
2008,22.3,10.61,-1.10 ,31.75,27.84,-0.14,42.66,46.94,0.09,58.63,72.63,0.19,97,150.69,0.36,
2009,21.61,9.96,-1.17 ,31.38,27.28,-0.15,41.15,45.2,0.09,56.88,71.24,0.20,94.24,149.95,0.37,
2010,20.95,10.03,-1.09 ,30.29,26.97,-0.12,41.21,45.19,0.09,55.21,71.22,0.23,92.87,150.14,0.38,
2011,22,10.07,-1.18 ,32.09,27.23,-0.18,42.4,45.56,0.07,57.46,72.17,0.20,94.55,153.33,0.38,
2012,22.15,10.17,-1.18 ,32.63,27.74,-0.18,43,46.78,0.08,59.98,73.97,0.19,99.37,158.02,0.37,
2013,22.39,10.09,-1.22 ,32.56,26.76,-0.22,42.5,43.59,0.03,58.84,67.34,0.13,99.24,134.04,0.26,
2014,23.71,10.75,-1.21 ,33.55,27.6,-0.22,45.4,44.69,-0.02,60.42,69.08,0.13,104.36,139.66,0.25,
2015,24.47,11.42,-1.14 ,35.06,28.73,-0.22,45.91,46.81,0.02,63.67,72.38,0.12,110.51,142.45,0.22,
2016,25.14,11.83,-1.13 ,36.77,29.42,-0.25,47.66,47.68,0.00,64.91,75.07,0.14,112.22,157.22,0.29,
2017,26.02,11.93,-1.18 ,39.3,30.32,-0.30,50.47,49.34,-0.02,67.6,77.10,0.91,116.99,149.5,0.22,
2018,26.4,11.7,-1.26 ,39.97,31.2,-0.28,51.73,51.21,-0.01,69.13,79.94,0.14,118.78,161.95,0.27,
2019,28.67,12.24,-1.34 ,40.47,32.95,-0.23,53.05,53.12,0.00,71.17,83.86,0.15,121.57,174.78,0.30,
2020,28.72,15.14,-0.90 ,39.89,36.4,-0.10,51.54,58,0.11,71.94,89.77,0.20,114.84,176.09,0.35,
2021,30.87,15.91,-0.94 ,43.92,37.5,-0.17,55.91,60.96,0.08,75.28,93.67,0.20,128.21,184.8,0.31,
2022,32.61,16.34,-1.00 ,47.66,39.3,-0.21,61.95,63.68,0.03,81.96,99.89,0.18,140.65,196.79,0.29,
2023,33.78,16.17,-1.09 ,48.92,40.62,-0.20,65.49,66.61,0.02,87.92,104.56,0.16,150.09,211.04,0.29,
